time,vhc_speed,charging_signal,vhc_totalMile,hv_voltage,hv_current,bcell_soc,bcell_maxVoltage,bcell_minVoltage,bcell_maxTemp,bcell_minTemp,seconds_from_start
507002908,0.0,1,135548,539.2,3.0,61,,,29,28,0
507002918,0.0,1,135548,539.2,2.3,61,,,29,28,10
507002928,0.0,1,135548,542.8,-77.7,61,3.349,3.335,29,28,20
507002938,0.0,1,135548,543.5,-77.7,62,,,29,28,30
507002948,0.0,1,135548,544.0,-77.7,62,3.358,3.352,29,28,40
507002958,0.0,1,135548,544.4,-77.7,62,,3.354,29,28,50
507003008,0.0,1,135548,544.7,-77.7,62,,,29,28,100
507003018,0.0,1,135548,545.0,-77.8,62,,,29,28,110
507003028,0.0,1,135548,545.3,-77.7,62,,3.36,29,28,120
507003038,0.0,1,135548,545.5,-77.6,62,,,29,28,130
507003048,0.0,1,135548,545.6,-77.7,62,,,29,28,140
507003058,0.0,1,135548,545.9,-77.7,62,,,29,28,150
507003108,0.0,1,135548,546.0,-77.7,62,,3.365,29,28,200
507003118,0.0,1,135548,546.1,-77.8,62,,,29,28,210
507003128,0.0,1,135548,546.3,-77.7,62,,,29,28,220
507003138,0.0,1,135548,546.3,-77.7,62,,,29,28,230
507003148,0.0,1,135548,546.5,-77.7,62,3.373,,29,28,240
507003158,0.0,1,135548,546.6,-77.6,62,,,29,28,250
507003208,0.0,1,135548,546.6,-77.7,62,,,29,28,300
507003218,0.0,1,135548,546.7,-77.7,62,3.375,3.37,29,28,310
507003228,0.0,1,135548,546.8,-77.7,62,,3.37,29,28,320
507003238,0.0,1,135548,546.8,-77.8,62,,,29,28,330
507003248,0.0,1,135548,546.9,-77.8,62,,,29,28,340
507003258,0.0,1,135548,546.9,-77.8,62,,,29,28,350
507003308,0.0,1,135548,547.0,-77.8,62,,,29,28,400
507003318,0.0,1,135548,547.0,-77.8,62,3.377,3.372,29,28,410
507003328,0.0,1,135548,547.0,-77.8,62,,,29,28,420
507003338,0.0,1,135548,547.1,-77.8,63,,3.372,29,28,430
507003348,0.0,1,135548,547.1,-77.8,63,,3.372,29,28,440
507003358,0.0,1,135548,547.1,-77.8,63,,,29,28,450
507003408,0.0,1,135548,547.1,-77.8,63,,,29,28,500
507003418,0.0,1,135548,547.1,-77.8,63,,,29,28,510
507003428,0.0,1,135548,547.2,-77.8,63,,,29,28,520
507003438,0.0,1,135548,547.2,-77.8,63,,,29,28,530
507003448,0.0,1,135548,547.1,-77.9,63,,,29,28,540
507003458,0.0,1,135548,547.2,-77.9,63,,,29,28,550
507003508,0.0,1,135548,547.2,-77.8,63,,,29,28,600
507003518,0.0,1,135548,547.2,-77.8,63,,3.373,29,28,610
507003528,0.0,1,135548,547.2,-77.8,63,,,29,28,620
507003538,0.0,1,135548,547.2,-77.9,63,,3.373,29,28,630
507003548,0.0,1,135548,547.2,-77.9,63,,3.373,29,28,640
507003558,0.0,1,135548,547.3,-77.9,63,,3.373,29,28,650
507003608,0.0,1,135548,547.3,-77.9,63,,,29,28,700
507003618,0.0,1,135548,547.2,-77.9,64,,,29,28,710
507003628,0.0,1,135548,547.3,-77.9,64,,,29,28,720
507003638,0.0,1,135548,547.3,-77.9,64,,,29,28,730
507003648,0.0,1,135548,547.3,-78.0,64,,,29,28,740
507003658,0.0,1,135548,547.2,-78.0,64,,,29,28,750
507003708,0.0,1,135548,547.3,-77.9,64,,,29,28,800
507003718,0.0,1,135548,547.3,-78.0,64,,,29,28,810
507003728,0.0,1,135548,547.3,-78.0,64,,,29,28,820
507003738,0.0,1,135548,547.3,-78.0,64,,,29,28,830
