vehicle,segment_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current,min_current,max_current,num_samples,integrated_current_ah,estimated_capacity_ah
1,96,401062743.0,401071823.0,2.522222222222222,53.0,98.0,45.0,-74.41472602739726,-130.2,-13.4,292,167.58277777777778,372.40617283950616
1,334,402125929.0,402131708.0,1.6052777777777778,73.0,91.0,18.0,-80.84556962025316,-126.7,-47.7,79,138.87199999999999,771.5111111111111
1,614,403050639.0,403055519.0,1.3555555555555556,73.0,98.0,25.0,-41.985665529010234,-89.2,-27.9,293,57.10611111111111,228.42444444444445
1,1050,403223131.0,404000350.0,215.89416666666668,34.0,95.0,61.0,-55.07869318181818,-92.7,-19.8,352,5171.124583333334,8477.253415300547
1,1576,405012403.0,405021943.0,2.65,21.0,98.0,77.0,-102.60738007380074,-200.2,-13.3,271,258.59388888888884,335.83621933621924
1,2012,407010553.0,407015623.0,1.4083333333333334,28.0,95.0,67.0,-100.25816993464052,-171.5,-37.4,153,153.29166666666666,228.79353233830844
1,2470,407174630.0,407180420.0,1.6083333333333334,36.0,68.0,32.0,-151.7140845070422,-163.8,-130.3,71,218.9466666666667,684.2083333333334
1,2602,407204920.0,407211630.0,1.863888888888889,50.0,88.0,38.0,-117.81666666666668,-161.6,-77.5,108,232.04611111111112,610.6476608187135
1,3106,409004651.0,409012411.0,2.1555555555555554,53.0,95.0,42.0,-87.99014084507044,-126.7,-53.5,142,230.29277777777776,548.3161375661375
1,3482,409205511.0,409212701.0,1.9972222222222222,61.0,90.0,29.0,-75.21458333333332,-97.1,-57.7,96,152.39861111111114,525.5124521072798
1,3780,410052353.0,410055823.0,0.9638888888888889,33.0,86.0,53.0,-128.00576923076926,-168.9,0.6,208,123.82944444444445,233.6404612159329
1,4140,410214426.0,410221626.0,2.0,50.0,91.0,41.0,-107.54132231404958,-159.0,-58.9,121,217.58749999999998,530.701219512195
1,4566,411081809.0,411085929.0,1.1444444444444444,43.0,94.0,51.0,-106.63468208092488,-162.4,3.0,173,116.41666666666667,228.26797385620915
1,4882,411190651.0,411193451.0,0.7777777777777778,53.0,89.0,36.0,-104.32278481012658,-159.3,0.8,79,84.85972222222223,235.72145061728398
1,5008,412015821.0,412022901.0,1.9666666666666666,58.0,93.0,35.0,-96.37298850574712,-121.1,-12.0,174,196.08305555555552,560.2373015873015
1,5364,413053634.0,413060654.0,1.95,61.0,95.0,34.0,-92.41857923497267,-130.1,-18.8,183,164.8083333333333,484.73039215686265
1,5746,414010404.0,414013924.0,0.9777777777777777,53.0,95.0,42.0,-97.88333333333333,-158.3,-42.0,150,93.47,222.54761904761907
1,6432,415145723.0,415153353.0,2.1194444444444445,38.0,81.0,43.0,-98.4544600938967,-120.5,4.4,213,204.44555555555553,475.45478036175706
1,6756,415225927.0,415231737.0,1.613888888888889,62.0,86.0,24.0,-106.5436363636364,-128.8,-42.3,110,196.44083333333333,818.5034722222223
