,charging_col,unique_values,value_counts,potential_charging_vals
Vehicle#1,charging_signal,"[3, 1]","{3: 75087, 1: 6811}",[np.int64(1)]
Vehicle#2,charging_signal,"[3, 1]","{3: 83494, 1: 7912}",[np.int64(1)]
Vehicle#3,charging_signal,"[3, 1]","{3: 103413, 1: 11331}",[np.int64(1)]
Vehicle#4,charging_signal,"[3, 1]","{3: 136288, 1: 14904}",[np.int64(1)]
Vehicle#5,charging_signal,"[3, 1, 4]","{3: 94641, 1: 15236, 4: 23}","[np.int64(1), np.int64(4)]"
Vehicle#6,charging_signal,"[3, 1]","{3: 145393, 1: 17178}",[np.int64(1)]
Vehicle#7,charging_signal,"[0, 1]","{0: 285512, 1: 38588}",[np.int64(1)]
Vehicle#8,charging_signal,"[3.0, 1.0, nan]","{3.0: 43123, 1.0: 8710}",[np.float64(1.0)]
Vehicle#9,charging_signal,"[3, 1]","{3: 55717, 1: 12573}",[np.int64(1)]
Vehicle#10,charging_signal,"[1, 3]","{3: 24918, 1: 7326}",[np.int64(1)]
