,mean,std,min,max,median,missing,zeros,negative
time,417708986.9543794,8619278.485989993,401052420.0,430180220.0,418134981.0,0.0,0.0,0.0
vhc_speed,21.270737150734085,27.19655167146312,0.0,128.0,7.8,0.0,43844.0,0.0
charging_signal,2.826882261558322,0.5623781517525472,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,171908.38120035882,1644.5933639353293,168758.0,174566.0,172080.0,0.0,0.0,0.0
hv_voltage,351.30205894580223,18.078977571663728,310.0,389.0,350.0,0.0,0.0,0.0
hv_current,-1.2875916241822203,43.18034457874397,-199.8,222.3,1.0,0.0,1519.0,21067.0
bcell_soc,60.9323020370654,22.20491049905024,5.0,97.0,64.0,0.0,0.0,0.0
bcell_maxVoltage,3.8754414589851875,0.19776907701921395,3.477,4.285,3.87,0.0,0.0,0.0
bcell_minVoltage,3.846824551998775,0.2159259593105174,0.0,4.257,3.832,0.0,51.0,0.0
bcell_maxTemp,28.95608603373958,2.5040500629556512,18.0,37.0,29.0,0.0,0.0,0.0
bcell_minTemp,26.137190118810583,2.247221444802529,-40.0,34.0,26.0,0.0,0.0,1.0
