vehicle,rows,columns,date_range,missing_values,columns_list,time_min,time_max,time_range,sampling_interval,estimated_freq_hz,data_duration_days
1,81898,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401042909,430235734,29192825,10.0,0.1,337.87991898148147
2,91406,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401052420,430180220,29127800,10.0,0.1,337.12731481481484
3,114744,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401000049,430235813,29235764,10.0,0.1,338.37689814814814
4,151192,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401000042,430235955,29235913,10.0,0.1,338.3786226851852
5,109900,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401000050,430233951,29233901,10.0,0.1,338.3553356481481
6,162571,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401000051,430235953,29235902,10.0,0.1,338.3784953703704
7,324100,8,,0,"['time', 'bcell_soc', 'hv_voltage', 'hv_current', 'vhc_speed', 'bcell_Temp', 'vhc_totalMile', 'charging_signal']",102135426,131235958,29100532,2.0,0.5,336.811712962963
8,52125,11,,1752,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401023413,430223233,29199820,20.0,0.05,337.96087962962963
9,68290,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",401064108,430124039,29059931,10.0,0.1,336.3417939814815
10,32244,11,,0,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']",507002908,531212316,24209408,10.0,0.1,280.2014814814815
