Vehicle_ID,Data Points,Chemistry,Vehicle Type,Avg Mileage,Avg SOH,Avg SOC,Avg Speed,Avg Voltage,Avg Current,Avg Max Temp,Cell Imbalance
1,81898,NCM,passenger,85432.53026935944,103.06838385196546,70.5717233632079,24.575848006056315,358.0699162372708,-0.5247698356492225,27.81247405309043,0.022763728871602943
2,91406,NCM,passenger,171908.38120035882,102.24623231770603,60.9323020370654,21.270737150734085,351.30205894580223,-1.2875916241822203,28.95608603373958,0.026472617809643696
3,114744,NCM,passenger,304403.8433294987,102.74711090191052,66.28425887192358,19.61783361221502,354.0713675660601,-0.8192672383741202,28.15015164191592,0.02612108737931816
4,151192,NCM,passenger,383076.22120218,102.33699001342018,67.78617916291867,20.507534790200538,355.2261561458278,-0.501156807238478,27.557555955341552,0.02491920916291165
5,109900,NCM,passenger,230536.46838944496,102.98688418536638,67.36409463148317,22.115866242038223,356.03910828025477,-0.506535941765241,28.113075523202912,0.02331338932716308
6,162571,NCM,passenger,252523.55029494804,103.36072630463687,65.02940253796802,22.187177294843487,353.69759674234643,-0.18299573724711052,33.18075179460051,0.031122521834934667
7,324100,LFP,passenger,85803.16598272139,72.6828695560969,66.92326442456032,6.331783400185128,547.3953008330762,0.10381672323356989,14.475057081147794,0.0
8,52125,LFP,bus,53976.449233114035,96.68090209664761,72.50925659472422,25.965525179856115,517.4769649880095,0.6681630695443642,28.659856115107914,0.00627679796696315
9,68290,LFP,bus,306854.8782398594,101.60259490735592,76.36873627178211,12.298045101771855,597.1583570068825,2.4488812417630696,27.618480011714745,0.026981046757744855
10,32244,LFP,bus,137298.22667783152,101.41055660933628,78.24686763428855,15.130197866269695,539.3236912293761,0.23127713683165801,28.813174544101226,0.017588716271463627
